name,order_id,hp,attack,defense,special_attack,special_defense,speed
bulbasaur,1,45,49,49,65,65,45
ivysaur,2,60,62,63,80,80,60
venusaur,3,80,82,83,100,100,80
charmander,4,39,52,43,60,50,65
charmeleon,5,58,64,58,80,65,80
charizard,6,78,84,78,109,85,100
squirtle,7,44,48,65,50,64,43
wartortle,8,59,63,80,65,80,58
blastoise,9,79,83,100,85,105,78
caterpie,10,45,30,35,20,20,45
metapod,11,50,20,55,25,25,30
butterfree,12,60,45,50,90,80,70
weedle,13,40,35,30,20,20,50
kakuna,14,45,25,50,25,25,35
beedrill,15,65,90,40,45,80,75
pidgey,16,40,45,40,35,35,56
pidgeotto,17,63,60,55,50,50,71
pidgeot,18,83,80,75,70,70,101
rattata,19,30,56,35,25,35,72
raticate,20,55,81,60,50,70,97
spearow,21,40,60,30,31,31,70
fearow,22,65,90,65,61,61,100
ekans,23,35,60,44,40,54,55
arbok,24,60,95,69,65,79,80
pikachu,25,35,55,40,50,50,90
raichu,26,60,90,55,90,80,110
sandshrew,27,50,75,85,20,30,40
sandslash,28,75,100,110,45,55,65
nidoran-f,29,55,47,52,40,40,41
nidorina,30,70,62,67,55,55,56
nidoqueen,31,90,92,87,75,85,76
nidoran-m,32,46,57,40,40,40,50
nidorino,33,61,72,57,55,55,65
nidoking,34,81,102,77,85,75,85
clefairy,35,70,45,48,60,65,35
clefable,36,95,70,73,95,90,60
vulpix,37,38,41,40,50,65,65
ninetales,38,73,76,75,81,100,100
jigglypuff,39,115,45,20,45,25,20
wigglytuff,40,140,70,45,85,50,45
zubat,41,40,45,35,30,40,55
golbat,42,75,80,70,65,75,90
oddish,43,45,50,55,75,65,30
gloom,44,60,65,70,85,75,40
vileplume,45,75,80,85,110,90,50
paras,46,35,70,55,45,55,25
parasect,47,60,95,80,60,80,30
venonat,48,60,55,50,40,55,45
venomoth,49,70,65,60,90,75,90
diglett,50,10,55,25,35,45,95
dugtrio,51,35,100,50,50,70,120
meowth,52,40,45,35,40,40,90
persian,53,65,70,60,65,65,115
psyduck,54,50,52,48,65,50,55
golduck,55,80,82,78,95,80,85
mankey,56,40,80,35,35,45,70
primeape,57,65,105,60,60,70,95
growlithe,58,55,70,45,70,50,60
arcanine,59,90,110,80,100,80,95
poliwag,60,40,50,40,40,40,90
poliwhirl,61,65,65,65,50,50,90
poliwrath,62,90,95,95,70,90,70
abra,63,25,20,15,105,55,90
kadabra,64,40,35,30,120,70,105
alakazam,65,55,50,45,135,95,120
machop,66,70,80,50,35,35,35
machoke,67,80,100,70,50,60,45
machamp,68,90,130,80,65,85,55
bellsprout,69,50,75,35,70,30,40
weepinbell,70,65,90,50,85,45,55
victreebel,71,80,105,65,100,70,70
tentacool,72,40,40,35,50,100,70
tentacruel,73,80,70,65,80,120,100
geodude,74,40,80,100,30,30,20
graveler,75,55,95,115,45,45,35
golem,76,80,120,130,55,65,45
ponyta,77,50,85,55,65,65,90
rapidash,78,65,100,70,80,80,105
slowpoke,79,90,65,65,40,40,15
slowbro,80,95,75,110,100,80,30
magnemite,81,25,35,70,95,55,45
magneton,82,50,60,95,120,70,70
farfetchd,83,52,90,55,58,62,60
doduo,84,35,85,45,35,35,75
dodrio,85,60,110,70,60,60,110
seel,86,65,45,55,45,70,45
dewgong,87,90,70,80,70,95,70
grimer,88,80,80,50,40,50,25
muk,89,105,105,75,65,100,50
shellder,90,30,65,100,45,25,40
cloyster,91,50,95,180,85,45,70
gastly,92,30,35,30,100,35,80
haunter,93,45,50,45,115,55,95
gengar,94,60,65,60,130,75,110
onix,95,35,45,160,30,45,70
drowzee,96,60,48,45,43,90,42
hypno,97,85,73,70,73,115,67
krabby,98,30,105,90,25,25,50
kingler,99,55,130,115,50,50,75
voltorb,100,40,30,50,55,55,100
